Network,Nodes,Edges,Density,Avg_Clustering,Communities,Modularity
GGM_Full,12,62,0.9393939393939394,0.9395622895622896,3,0.24288747020800147
CoOccur_Poor,12,20,0.30303030303030304,0.5055555555555555,-,-
CoOccur_NonPoor,12,20,0.30303030303030304,0.5623015873015873,-,-
GGM_MetS_Positive,12,59,0.8939393939393939,0.8927609427609428,-,-
GGM_MetS_Negative,12,61,0.9242424242424242,0.9187710437710438,-,-
