Group,Sex,Age_Group,MetS_Status,Food,Risk_Score,Direct_Effect,Network_Centrality,Indirect_Effect,Degree_Centrality,Betweenness_Centrality,Current_Intake,N_Connections,Food_Category
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Grain Products,0.4104739166058762,0.013758392438608585,0.8181818181818182,0.5317200472529577,0.8181818181818182,0.0038383838383838375,2.1039260969976907,9,Healthy
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Protein Foods,0.6098629922810443,0.024657480702610927,1.0,1.0,1.0,0.012676767676767677,2.9417303251021494,11,Healthy
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Vegetables,0.59540426008202,0.028495185252255063,1.0,0.9466872866037266,1.0,0.012676767676767677,2.7765144785930005,11,Healthy
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Dairy Products,0.3877128651881667,0.029171065314036227,0.8181818181818182,0.43529964536002247,0.8181818181818182,0.0061111111111111106,1.953810623556582,9,Healthy
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Fruits,0.4821293479789218,0.023268700068775235,0.9090909090909092,0.6669819840804632,0.9090909090909092,0.008383838383838382,2.2606146740095934,10,Healthy
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Fried Foods,0.4121814752754386,0.016556622062936052,0.8181818181818182,0.5336809366523958,0.8181818181818182,0.0061111111111111106,1.3355835850062179,9,Unhealthy
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),High Fat Meat,0.4465555001024988,0.008943965286803107,0.9090909090909092,0.567502137535016,0.9090909090909092,0.008383838383838382,1.344643808847042,10,Unhealthy
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Processed Foods,0.5697865725501038,0.017405149464598098,1.0,0.8760817092142151,1.0,0.012676767676767677,1.4356013501510037,11,Unhealthy
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Sugar-Sweetened Beverages,0.39536179245639924,0.0215220575652231,0.8181818181818182,0.47099474658588175,0.8181818181818182,0.0038383838383838375,1.2259726416770296,9,Unhealthy
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Additional Salt Use,0.462848201639998,0.012006474997369992,1.0,0.5268187054701667,1.0,0.012676767676767677,1.4141055249600285,11,Unhealthy
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Salty Food Consumption,0.40944889600910367,0.029833004040673943,0.9090909090909092,0.41596140555187106,0.9090909090909092,0.010858585858585857,1.5805649316041925,10,Unhealthy
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Sweet Food Consumption,0.43259149540899333,0.03953742375913175,0.9090909090909092,0.4801641772602263,0.9090909090909092,0.010858585858585857,2.1176052584828566,10,Healthy
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Grain Products,0.3945325168351704,0.027122986972427966,0.8181818181818182,0.4607625886388457,0.8181818181818182,0.0038383838383838375,2.1017521638167618,9,Healthy
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Protein Foods,0.5376797001085167,0.02989886456611975,0.9090909090909092,0.8433096051826535,0.9090909090909092,0.013780663780663779,3.010977411864049,10,Healthy
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Vegetables,0.5620614335662367,0.02423648062303965,0.9090909090909092,0.9321318952991604,0.9090909090909092,0.010981240981240982,2.7808739708676375,10,Healthy
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Dairy Products,0.3525574736272922,0.02559073848152519,0.7272727272727273,0.4137978668428796,0.7272727272727273,0.0038383838383838375,1.8005066497783406,8,Healthy
