Network_Type,MetS_Group,Diet_Quality,Nodes,Edges,Density,Avg_Clustering,Avg_Degree
GGM,MetS Positive,All,12,59,0.8939393939393939,0.8927609427609428,9.833333333333334
GGM,MetS Negative,All,12,61,0.9242424242424242,0.9187710437710438,10.166666666666666
Co-occurrence,MetS Positive,Poor,12,20,0.30303030303030304,0.5055555555555555,3.3333333333333335
Co-occurrence,MetS Positive,NonPoor,12,20,0.30303030303030304,0.6178571428571429,3.3333333333333335
Co-occurrence,MetS Negative,Poor,12,20,0.30303030303030304,0.5055555555555555,3.3333333333333335
Co-occurrence,MetS Negative,NonPoor,12,20,0.30303030303030304,0.6444444444444445,3.3333333333333335
