Group,Sex,Age_Group,MetS_Status,Food,Direct_Effect,Degree_Centrality,Betweenness_Centrality,Indirect_Effect,Current_Intake
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Grain Products,0.013758392438608585,0.8181818181818182,0.0038383838383838375,0.5317200472529577,2.1039260969976907
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Protein Foods,0.024657480702610927,1.0,0.012676767676767677,1.0,2.9417303251021494
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Vegetables,0.028495185252255063,1.0,0.012676767676767677,0.9466872866037266,2.7765144785930005
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Dairy Products,0.029171065314036227,0.8181818181818182,0.0061111111111111106,0.43529964536002247,1.953810623556582
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Fruits,0.023268700068775235,0.9090909090909092,0.008383838383838382,0.6669819840804632,2.2606146740095934
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Fried Foods,0.016556622062936052,0.8181818181818182,0.0061111111111111106,0.5336809366523958,1.3355835850062179
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),High Fat Meat,0.008943965286803107,0.9090909090909092,0.008383838383838382,0.567502137535016,1.344643808847042
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Processed Foods,0.017405149464598098,1.0,0.012676767676767677,0.8760817092142151,1.4356013501510037
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Sugar-Sweetened Beverages,0.0215220575652231,0.8181818181818182,0.0038383838383838375,0.47099474658588175,1.2259726416770296
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Additional Salt Use,0.012006474997369992,1.0,0.012676767676767677,0.5268187054701667,1.4141055249600285
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Salty Food Consumption,0.029833004040673943,0.9090909090909092,0.010858585858585857,0.41596140555187106,1.5805649316041925
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),Sweet Food Consumption,0.03953742375913175,0.9090909090909092,0.010858585858585857,0.4801641772602263,2.1176052584828566
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),Grain Products,0.027122986972427966,0.8181818181818182,0.0038383838383838375,0.4607625886388457,2.1017521638167618
