Model,AUC,Pseudo_R2
Direct Only,0.5902377640309956,0.01698372662183112
Centrality Only,0.5908170999434152,0.017342545361682782
Indirect Only,0.5908335626576962,0.017342571254484906
Combined,0.5908418727838043,0.017342629864891546
