Group,Rank,Top Degree,Top Betweenness,Top Closeness
여성_장년층(60-74세)_MetS(+),1,Protein Foods (0.1818),Protein Foods (0.0182),Protein Foods (0.1818)
여성_장년층(60-74세)_MetS(+),2,Fried Foods (0.1818),Grain Products (0.0000),Fried Foods (0.1818)
여성_장년층(60-74세)_MetS(+),3,High Fat Meat (0.1818),Vegetables (0.0000),High Fat Meat (0.1818)
여성_장년층(60-74세)_MetS(+),4,Processed Foods (0.1818),Dairy Products (0.0000),Processed Foods (0.1818)
여성_장년층(60-74세)_MetS(+),5,Vegetables (0.0909),Fruits (0.0000),Vegetables (0.1212)
여성_장년층(60-74세)_MetS(-),1,Protein Foods (0.0909),Grain Products (0.0000),Protein Foods (0.0909)
여성_장년층(60-74세)_MetS(-),2,Vegetables (0.0909),Protein Foods (0.0000),Vegetables (0.0909)
여성_장년층(60-74세)_MetS(-),3,Processed Foods (0.0909),Vegetables (0.0000),Processed Foods (0.0909)
여성_장년층(60-74세)_MetS(-),4,Additional Salt Use (0.0909),Dairy Products (0.0000),Additional Salt Use (0.0909)
여성_장년층(60-74세)_MetS(-),5,Salty Food Consumption (0.0909),Fruits (0.0000),Salty Food Consumption (0.0909)
