Group,Hub_Food,Hub_Centrality,Severity_Indicator,N_Low,N_High,Low_Mean,High_Mean,Difference,P_Value,Significant,Direction
Male_Older_MetS(+),Processed Foods,0.364,Systolic blood pressure (mmHg),768,203,127.21,125.67,-1.55,0.1579,ns,No association
Male_Older_MetS(+),Processed Foods,0.364,Diastolic Blood Pressure (mmHg),768,203,79.45,79.42,-0.03,0.9376,ns,No association
Male_Older_MetS(+),Processed Foods,0.364,Fasting glucose (mg/dL),768,203,115.02,117.31,2.28,0.4249,ns,No association
Male_Older_MetS(+),Processed Foods,0.364,Triglycerides (mg/dL),768,203,128.35,134.49,6.14,0.0403,*,Aggravating
Male_Older_MetS(+),Processed Foods,0.364,HDL-C (mg/dL),768,203,46.96,46.13,-0.83,0.3100,ns,No association
Male_Older_MetS(+),Processed Foods,0.364,N_MetS_Components,768,203,2.61,2.74,0.14,0.1237,ns,No association
Male_Older_MetS(+),Protein Foods,0.273,BMI(kg/m2),723,248,25.46,25.41,-0.05,0.3231,ns,No association
Male_Older_MetS(+),Protein Foods,0.273,Waist circumference (cm),723,248,91.56,91.85,0.29,0.7636,ns,No association
Male_Older_MetS(+),Protein Foods,0.273,Systolic blood pressure (mmHg),723,248,126.58,127.79,1.21,0.3521,ns,No association
Male_Older_MetS(+),Protein Foods,0.273,Diastolic Blood Pressure (mmHg),723,248,79.41,79.54,0.14,0.6407,ns,No association
Male_Older_MetS(+),Protein Foods,0.273,Fasting glucose (mg/dL),723,248,116.11,113.74,-2.37,0.3114,ns,No association
Male_Older_MetS(+),Protein Foods,0.273,Triglycerides (mg/dL),723,248,130.17,128.06,-2.12,0.7381,ns,No association
Male_Older_MetS(+),Protein Foods,0.273,HDL-C (mg/dL),723,248,46.95,46.29,-0.66,0.8015,ns,No association
Male_Older_MetS(+),Protein Foods,0.273,N_MetS_Components,723,248,2.63,2.65,0.02,0.6511,ns,No association
Female_Middle_MetS(+),Fried Foods,0.455,BMI(kg/m2),509,249,25.09,26.03,0.94,0.0010,**,Aggravating
Female_Middle_MetS(+),Fried Foods,0.455,Waist circumference (cm),509,249,87.82,90.02,2.20,0.0001,***,Aggravating
Female_Middle_MetS(+),Fried Foods,0.455,Systolic blood pressure (mmHg),509,249,125.21,123.76,-1.45,0.2950,ns,No association
Female_Middle_MetS(+),Fried Foods,0.455,Diastolic Blood Pressure (mmHg),509,249,80.04,78.65,-1.39,0.0770,ns,No association
Female_Middle_MetS(+),Fried Foods,0.455,Fasting glucose (mg/dL),509,249,108.42,107.43,-1.00,0.8742,ns,No association
Female_Middle_MetS(+),Fried Foods,0.455,Triglycerides (mg/dL),509,249,136.01,144.75,8.75,0.0213,*,Aggravating
Female_Middle_MetS(+),Fried Foods,0.455,HDL-C (mg/dL),509,249,49.70,49.71,0.01,0.7249,ns,No association
Female_Middle_MetS(+),Fried Foods,0.455,N_MetS_Components,509,249,2.93,3.07,0.15,0.0483,*,Aggravating
Female_Middle_MetS(+),High Fat Meat,0.364,BMI(kg/m2),506,26,25.17,25.24,0.07,0.8098,ns,No association
